id,title,release_date,genres,platform,region
950387,A Minecraft Movie,2025-03-31,"['Other', 'Comedy', 'Other', 'Other']",Cinema,India
574475,Final Destination Bloodlines,2025-05-09,"['Horror', 'Other']",Cinema,India
552524,Lilo & Stitch,2025-05-17,"['Other', 'Comedy', 'Other']",Cinema,India
1197306,A Working Man,2025-03-26,"['Action', 'Other', 'Thriller']",Cinema,India
575265,Mission: Impossible - The Final Reckoning,2025-05-17,"['Action', 'Other', 'Thriller']",Cinema,India
447273,Snow White,2025-03-12,"['Other', 'Other']",Cinema,India
1232546,Until Dawn,2025-04-23,"['Horror', 'Other']",Cinema,India
1241436,Warfare,2025-04-09,"['Other', 'Action']",Cinema,India
1098006,Fountain of Youth,2025-05-19,"['Other', 'Other', 'Other']",Cinema,India
977294,Tin Soldier,2025-05-22,"['Action', 'Thriller']",Cinema,India
896536,The Legend of Ochi,2025-04-18,"['Other', 'Other', 'Other']",Cinema,India
986056,Thunderbolts*,2025-04-30,"['Action', 'Other', 'Other']",Cinema,India
324544,In the Lost Lands,2025-02-27,"['Action', 'Other', 'Other']",Cinema,India
1092073,The Haunting at Saint Joseph's,2023-02-26,"['Horror', 'Thriller']",Cinema,India
822119,Captain America: Brave New World,2025-02-12,"['Action', 'Thriller', 'Other']",Cinema,India
1297028,Rosario,2025-05-01,['Horror'],Cinema,India
1359977,Conjuring the Cult,2024-10-01,"['Horror', 'Drama']",Cinema,India
1001414,Fear Street: Prom Queen,2025-05-23,"['Horror', 'Other']",Cinema,India
1233413,Sinners,2025-04-16,"['Horror', 'Thriller']",Cinema,India
668489,Havoc,2025-04-25,"['Action', 'Other', 'Thriller']",Cinema,India
710258,Rust,2025-05-01,['Other'],Cinema,India
1180763,From the Shadows,2023-09-22,"['Thriller', 'Other', 'Horror']",Cinema,India
1241982,Moana 2,2024-11-21,"['Other', 'Other', 'Other', 'Comedy']",Cinema,India
762509,Mufasa: The Lion King,2024-12-18,"['Other', 'Other', 'Other']",Cinema,India
1040159,My Massive Cock,2022-10-24,['Other'],Cinema,India
1011477,Karate Kid: Legends,2025-05-08,"['Action', 'Other', 'Drama']",Cinema,India
575264,Mission: Impossible - Dead Reckoning Part One,2023-07-08,"['Action', 'Other', 'Thriller']",Cinema,India
939243,Sonic the Hedgehog 3,2024-12-19,"['Action', 'Other', 'Comedy', 'Other']",Cinema,India
55779,Final Destination 5,2011-08-12,"['Horror', 'Other']",Cinema,India
1153714,Death of a Unicorn,2025-03-27,"['Horror', 'Other', 'Comedy']",Cinema,India
1124620,The Monkey,2025-02-14,"['Horror', 'Comedy']",Cinema,India
1482554,Soul to Squeeze,2025-05-16,"['Thriller', 'Drama', 'Other']",Cinema,India
1356236,Saint Catherine,2024-09-24,['Horror'],Cinema,India
