popularity,vote_average,vote_count,season_Fall,season_Spring,season_Summer,season_Winter,genre_Action,genre_Comedy,genre_Drama,genre_Romance,genre_Horror,genre_Thriller,genre_Other
694.9673,6.526,1419,False,True,False,False,0,1,0,0,0,0,1
535.0346,7.075,394,False,True,False,False,0,0,0,0,1,0,1
508.3123,7.115,135,False,True,False,False,0,1,0,0,0,0,1
314.9315,6.676,969,False,True,False,False,1,0,0,0,0,1,1
325.1914,7.01,263,False,True,False,False,1,0,0,0,0,1,1
268.7116,4.3,926,False,True,False,False,0,0,0,0,0,0,1
287.8015,6.32,291,False,True,False,False,0,0,0,0,1,0,1
262.0183,7.226,419,False,True,False,False,1,0,0,0,0,0,1
221.1354,6.789,114,False,True,False,False,0,0,0,0,0,0,1
206.7337,5.156,32,False,True,False,False,1,0,0,0,0,1,0
240.693,6.075,67,False,True,False,False,0,0,0,0,0,0,1
167.4446,7.464,976,False,True,False,False,1,0,0,0,0,0,1
145.0698,6.4,388,False,False,False,True,1,0,0,0,0,0,1
139.0719,4.6,11,False,False,False,True,0,0,0,0,1,1,0
134.5154,6.107,1896,False,False,False,True,1,0,0,0,0,1,1
150.8553,4.9,13,False,True,False,False,0,0,0,0,1,0,0
117.842,5.4,25,True,False,False,False,0,0,1,0,1,0,0
215.8355,5.37,104,False,True,False,False,0,0,0,0,1,0,1
111.2267,7.552,768,False,True,False,False,0,0,0,0,1,1,0
113.1681,6.532,698,False,True,False,False,1,0,0,0,0,1,1
111.3931,6.365,52,False,True,False,False,0,0,0,0,0,0,1
83.534,3.1,4,True,False,False,False,0,0,0,0,1,1,1
114.9059,7.082,2386,True,False,False,False,0,1,0,0,0,0,1
89.6888,7.4,2131,False,False,False,True,0,0,0,0,0,0,1
82.3586,5.1,7,True,False,False,False,0,0,0,0,0,0,1
83.6855,7.7,36,False,True,False,False,1,0,1,0,0,0,1
82.9695,7.535,4265,False,False,True,False,1,0,0,0,0,1,1
81.8578,7.716,2605,False,False,False,True,1,1,0,0,0,0,1
79.8319,6.125,3622,False,False,True,False,0,0,0,0,1,0,1
75.6604,6.4,246,False,True,False,False,0,1,0,0,1,0,1
76.5206,5.899,638,False,False,False,True,0,1,0,0,1,0,0
74.715,4.7,3,False,True,False,False,0,0,1,0,0,1,1
64.3093,6.908,38,True,False,False,False,0,0,0,0,1,0,0
61.9668,7.706,2606,False,False,False,True,0,0,0,1,0,1,1
57.6419,7.091,428,True,False,False,False,1,0,1,0,0,0,1
62.783,6.902,787,False,True,False,False,1,1,0,0,0,1,0
62.2157,7.833,6,False,True,False,False,1,0,0,0,0,1,1
53.8103,8.127,1734,False,False,False,True,0,0,1,0,0,0,0
58.6218,6.113,739,False,False,False,True,1,0,0,0,0,1,0
59.9856,6.546,499,False,True,False,False,1,0,1,0,0,0,1
56.4243,6.7,17,False,True,False,False,1,0,0,0,0,0,1
51.7178,6.7,3383,True,False,False,False,1,0,0,0,0,0,1
45.6339,6.384,69,False,False,False,True,0,0,1,1,0,0,0
56.4225,8.316,4937,True,False,False,False,0,0,0,0,0,0,1
52.3604,5.413,52,False,True,False,False,1,0,0,0,0,1,0
49.2494,7.594,7261,False,False,True,False,1,1,0,0,0,0,1
47.41,6.7,101,True,False,False,False,0,0,0,0,0,0,1
46.5899,7.064,3082,False,True,False,False,1,1,0,0,0,0,1
46.7181,7.1,4647,True,False,False,False,0,0,0,0,1,0,1
44.8638,5.818,11,False,True,False,False,1,0,1,0,0,1,0
44.4762,7.1,171,False,True,False,False,1,0,0,0,0,1,1
48.5834,7.043,2771,False,False,True,False,0,1,0,0,0,0,1
40.3756,6.515,344,False,True,False,False,0,0,0,0,0,1,1
50.4762,6.908,2023,False,False,False,True,0,1,0,0,0,0,1
46.2385,7.554,5865,False,False,True,False,0,1,0,0,0,0,1
44.0331,5.979,24,False,True,False,False,0,1,1,0,0,0,0
43.3702,6.561,1700,False,False,False,True,1,0,0,0,0,1,1
40.7241,6.577,13,False,False,False,True,0,0,1,1,0,0,0
41.7804,7.752,31876,False,True,False,False,1,0,0,0,0,0,1
40.3042,6.0,278,False,True,False,False,0,1,0,0,0,1,1
40.0835,6.2,168,False,True,False,False,0,0,0,0,1,0,1
41.8411,6.74,3382,True,False,False,False,1,0,1,0,0,0,1
